id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
59093,0.197,22271,141140,0,0,0,99.31,9,A,Urban,15900,1
22049,0.196,23006,309690,0,0,0,99.36,11,A,Urban,18000,1
15384,1,9139,63680,0,1,0,99.22,6,A,Urban,5400,0
41456,0.003,19717,130930,0,0,0,99.39,7,D,Urban,9600,1
33533,0.914,20089,129100,2,0,0,97.87,19,B,Urban,1200,0
67310,0.4,19350,412970,0,0,0,98.88,12,C,Urban,22200,1
92489,1,18627,147100,1,0,0,99.86,4,D,Rural,9600,1
99386,0.027,19721,212600,0,0,0,99.89,7,B,Rural,13800,1
92594,0.064,18992,180070,1,0,0,99.88,6,B,Rural,7500,1
107672,0,17163,114040,1,0,0,98.9,8,C,Rural,9600,1
86579,0.005,25920,46400,0,0,0,99.54,13,A,Urban,5700,1
73980,0.914,17526,44270,1,0,0,98.92,9,A,Rural,3300,1
69488,0,16073,222810,0,0,0,99.77,17,A,Rural,9600,1
32666,0.031,20818,228600,0,0,0,99.19,10,A,Urban,13800,1
66499,0,17161,142080,0,0,0,99,8,C,Urban,7500,1
24621,0.012,23001,254420,0,0,0,99.52,15,B,Rural,7500,1
72759,0.342,14242,312560,0,0,0,98.64,10,D,Urban,13800,1
9343,0.008,23009,45120,0,0,0,99.89,9,A,Urban,3300,1
40242,0.25,26650,69030,1,0,0,95.47,13,A,Rural,3300,1
84091,0.497,18626,272610,0,0,0,99.32,12,B,Urban,11700,1
50427,0.02,20816,403370,0,0,0,99.58,14,A,Rural,20100,1
23350,0,15336,300030,1,0,0,99.22,17,D,Rural,1200,1
66151,0.113,18628,509070,0,0,0,99.26,22,C,Urban,24300,1
21078,0.717,13511,270100,0,0,0,99.08,10,B,Urban,1200,1
108592,0.016,14979,292810,1,0,0,98.86,20,D,Rural,7500,1
78075,0.57,12421,127530,0,0,0,99.65,6,A,Rural,5400,1
97113,0.428,22640,465000,0,0,0,99.27,15,A,Urban,20100,1
67729,1,15336,173130,0,0,0,98.76,6,A,Urban,18000,1
51614,0.041,16072,209070,0,0,0,99.11,11,C,Urban,5400,1
93002,0.374,12421,135030,1,0,0,99.53,11,B,Urban,13800,1
89351,0.031,21545,57660,0,0,0,98.92,9,A,Urban,1200,1
28283,0,26656,315080,0,0,0,,10,A,Urban,13800,1
94682,0.108,23365,510070,0,0,0,98.62,12,A,Urban,5400,1
93018,0.119,19359,240130,0,0,0,98.71,8,B,Rural,11700,1
69587,0.154,23369,180060,0,0,0,98.79,15,A,Rural,9600,1
65582,0.798,26656,81480,0,0,0,97.56,16,A,Urban,3300,1
85482,0.714,18994,60060,1,0,0,,14,D,Urban,5700,1
78715,0.474,11323,66820,0,0,0,98.49,7,B,Urban,3300,1
19588,0.745,17893,133650,0,0,0,96.88,5,A,Urban,9600,1
25853,0.014,18985,141240,0,0,0,98.82,7,B,Urban,7500,1
43725,0.686,14974,326960,0,0,0,98.86,15,B,Urban,3300,1
21590,0.723,18988,183660,0,0,0,98.76,5,C,Rural,9600,1
96674,0.42,14605,171140,1,0,0,98.47,11,C,Urban,3300,1
91945,0,18257,210100,0,0,0,98.52,10,B,Urban,9600,1
22969,0.682,13519,177090,0,0,0,98.89,12,D,Urban,7500,1
14134,0.664,13512,300480,0,0,0,98.72,14,A,Urban,28500,1
85694,0.176,13877,80120,0,0,0,98.66,19,A,Urban,3300,1
95746,0.501,14972,208680,0,0,0,99.02,13,C,Rural,22200,1
51410,0,16065,42580,0,0,0,99.81,4,C,Urban,3300,1
73099,1,15336,210100,,,,,2,A,Urban,9600,0
97861,0.246,26294,165130,0,0,0,99.87,5,A,Urban,9600,1
70361,0.597,15340,91520,1,0,0,99.8,4,C,Rural,5400,1
39238,0.059,19719,173650,0,0,0,99.23,12,C,Urban,9600,1
42778,0.165,23001,111100,0,0,0,99.25,9,C,Urban,5400,1
90621,0.559,13883,495070,1,0,0,99.1,11,B,Urban,22200,1
78378,0.341,16072,75100,0,0,0,99.27,8,A,Urban,1200,1
72769,0.941,10233,120070,0,0,0,99.16,9,C,Urban,7500,1
109273,0.018,25925,305600,0,0,0,99.89,11,A,Urban,18000,1
26002,0.111,18255,159110,0,0,0,99.74,9,C,Rural,11700,1
3963,0.155,16439,290070,0,0,0,99.39,8,D,Rural,34800,1
21464,0.358,17528,216130,1,0,0,98.83,17,B,Rural,15900,1
48621,0.005,31033,100100,0,0,0,,12,A,Rural,7500,1
4456,0.002,21178,237070,0,1,0,99.39,25,A,Urban,11700,1
15680,0.18,29578,41230,0,0,0,98.86,15,A,Urban,1200,1
61448,0.44,8771,75110,0,0,0,99.84,5,A,Rural,3300,1
95451,0.03,18989,82650,0,0,0,99.43,6,A,Urban,7500,1
27067,0.154,18260,512170,0,0,0,99.36,17,C,Rural,41100,1
34242,0.522,23736,235550,0,0,0,98.63,11,B,Rural,11700,1
42883,0.032,26657,180110,0,0,0,99.37,12,A,Rural,15900,1
79603,0.7,12780,105100,0,0,0,99.09,9,A,Rural,1200,1
85611,0.382,18262,150080,0,0,0,99.19,10,A,Urban,7500,1
86797,0.042,32125,190040,0,0,0,99.59,6,A,Urban,18000,1
14371,0.984,13883,81330,0,0,0,98.42,6,A,Urban,5400,1
68227,0.321,20448,97650,1,0,0,97.77,12,A,Urban,3300,1
39241,0.057,22638,104210,0,0,0,99.42,10,C,Rural,7500,1
55932,0.349,17530,231380,0,0,0,99.81,4,A,Urban,13800,1
19854,0.498,18263,60050,0,0,0,96.7,8,A,Rural,5700,1
91120,0.704,20081,186200,0,0,0,99.56,6,A,Urban,15900,1
94085,0.076,9864,125730,0,0,0,98.44,10,A,Urban,5700,1
18143,0,18258,160200,0,0,0,99.7,6,A,Urban,1200,1
14020,0.021,18985,87570,0,0,0,98.59,7,A,Urban,5400,1
2250,0.515,22636,139810,0,0,0,99.67,8,B,Urban,15900,1
113952,1,16072,135060,0,4,1,98.86,6,B,Urban,9600,0
41837,0.093,21546,334600,1,0,0,99,18,A,Rural,15900,1
1223,0.001,20085,273120,2,0,0,99.25,19,B,Urban,15900,1
88335,0.02,29213,120030,0,0,0,99.88,9,A,Urban,11700,1
68572,0.029,24830,59490,0,0,0,98.84,8,B,Rural,5700,1
10072,0.15,23004,45070,0,0,0,99,14,A,Urban,3300,1
103770,0,8045,27900,0,0,0,,4,A,Rural,1200,1
9730,0.662,15705,105070,1,0,0,98.78,9,C,Urban,5400,1
99956,0.066,8768,56460,0,0,0,99.83,4,A,Urban,3300,1
86041,0.438,13518,125150,0,0,0,99.77,12,A,Urban,7500,1
12927,0.01,15702,153820,0,0,0,99.37,10,C,Urban,13800,1
62658,0.102,17168,582110,0,0,0,99.43,15,D,Urban,60000,1
74768,0.005,19716,300030,0,0,0,98.93,11,B,Rural,5400,1
67983,0.027,18991,310040,0,0,0,99.3,12,D,Urban,22200,1
32343,0.783,22637,108050,0,0,0,98.95,10,A,Urban,3300,1
44307,0.008,21906,215030,0,0,0,99.32,7,A,Rural,15900,1
29455,0.019,28476,72150,0,0,0,99.84,11,A,Urban,3300,1
48652,0.245,13880,201110,0,0,0,99.47,9,A,Urban,26400,1
38192,0.112,21176,230190,0,0,0,99.07,8,A,Urban,9600,1
86212,0.022,26650,416520,0,0,0,99.49,30,C,Rural,20100,1
77468,0.501,20447,552150,0,0,0,99.26,24,B,Rural,57900,1
76190,0.162,13882,525150,0,0,0,99.54,20,A,Rural,22200,1
13032,0.95,17893,255290,1,0,0,98.71,18,A,Rural,20100,0
81732,0.13,18255,208630,0,0,0,97.75,11,B,Urban,13800,1
36617,0,13516,150140,0,0,0,97.57,9,D,Urban,7500,1
100290,0.003,19356,385050,0,0,0,99.39,21,D,Urban,20100,1
50399,0.016,28478,105650,0,0,0,99.89,7,A,Rural,9600,1
25821,0.334,19356,514540,0,0,0,98.93,23,B,Urban,18000,1
93281,0.38,16437,266830,0,0,0,98.93,17,A,Urban,18000,1
71797,0.145,19359,312580,0,0,0,99.36,14,A,Rural,30600,1
109493,0.226,22275,604480,0,0,0,98.31,16,A,Rural,15900,1
64242,0.178,15700,162660,0,0,0,98.22,15,A,Rural,13800,1
39765,0.622,13511,66050,0,0,0,99.2,7,A,Rural,5700,1
64855,0.383,23002,174060,0,0,0,99.13,5,A,Urban,13800,1
17800,0.012,28110,30120,0,0,0,,3,A,Urban,1200,1
68630,0.118,26293,165050,1,0,0,99.43,9,C,Urban,1200,1
41836,0.093,29579,52590,0,0,0,98.82,10,A,Rural,3300,1
109004,0.929,19350,183100,0,1,0,98.93,9,A,Rural,7500,1
13642,0,12425,390030,0,0,0,99.44,11,B,Urban,24300,1
45049,0.909,10958,149100,0,0,0,99.13,10,A,Rural,5400,1
12880,0.04,18994,62970,0,0,0,98.42,9,A,Urban,5700,1
32686,0.259,19356,150060,0,0,0,99.56,12,A,Rural,11700,1
15755,0.007,25924,221700,0,0,0,99.53,14,B,Rural,18000,1
76936,0.304,23366,105110,0,0,0,97.37,6,A,Rural,5400,1
76071,0.005,20454,180110,0,0,0,99.29,16,A,Urban,22200,1
38055,0.411,10598,27870,0,0,0,99.12,14,A,Rural,1200,1
14708,0.312,15341,177630,0,0,0,99.11,6,A,Urban,9600,1
98435,0.021,28477,120110,0,0,0,98.7,11,B,Urban,5400,1
6270,0.337,14607,89030,0,1,0,97.4,14,B,Urban,5400,1
112630,0.06,18257,37580,0,0,0,98.75,8,A,Rural,3300,1
109971,0.478,28120,144100,0,0,0,99.25,14,A,Urban,5400,1
43926,0.097,10958,120100,0,0,0,99.62,9,D,Rural,11700,1
36817,0.02,20086,255050,0,0,0,98.99,33,C,Rural,28500,1
32283,0.354,24098,174140,0,0,0,98.34,19,A,Rural,1200,1
107516,0.963,9134,66090,2,0,0,99.19,12,A,Urban,5400,1
10693,0.041,19359,270080,0,0,0,99.38,6,A,Urban,13800,1
21117,0.3,20451,219580,0,0,0,99.86,3,A,Rural,11700,1
42809,0.138,25190,261600,0,0,0,98.9,13,A,Urban,15900,1
58573,0.018,22637,249070,0,0,0,99.54,17,A,Urban,13800,1
83981,0.389,14980,216060,0,0,0,98.95,13,D,Urban,9600,1
86519,0.085,18628,177060,0,0,0,98.7,6,B,Urban,11700,1
11689,0.066,16435,334860,0,0,0,99.21,6,C,Urban,24300,1
31756,0.067,18265,87540,0,0,0,98.07,8,B,Urban,3300,1
93944,0.806,32865,93740,0,0,0,98.59,10,A,Rural,3300,1
68865,0.009,18261,269970,1,0,0,98.88,23,A,Rural,1200,1
51119,0.076,23009,205500,0,0,0,99.17,9,A,Urban,3300,1
86759,0.033,23367,158530,0,0,0,99.56,13,A,Urban,7500,1
72619,0,20083,456120,0,0,0,99.32,12,A,Urban,3300,1
95370,0.608,23374,271140,0,0,0,98.38,11,A,Urban,28500,1
65126,0.036,21912,450140,0,0,0,99.88,22,A,Rural,20100,1
79969,0.053,28118,85350,0,0,0,99.83,9,A,Rural,3300,1
17452,0.034,12058,216100,0,0,0,99.88,7,C,Rural,11700,1
45082,0.443,15339,274610,0,0,0,99.29,9,B,Urban,24300,1
23128,0.065,14244,340140,0,0,0,99.32,7,D,Urban,26400,1
93577,0,17526,281220,0,0,0,99.11,11,D,Urban,1200,1
105470,0.796,17531,774150,1,2,0,99.71,11,B,Urban,45300,0
7882,0.985,20450,300150,1,0,1,99.71,13,A,Urban,20100,0
56111,1,18259,365110,1,0,0,99.43,6,A,Urban,20100,1
42772,0.238,23737,450050,0,0,0,99.59,19,A,Urban,26400,1
104249,1,10959,62470,1,0,0,99.56,3,A,Urban,3300,0
97880,0.667,18630,151560,1,0,0,98.65,13,A,Urban,13800,0
48330,0.901,12057,36440,0,0,0,99.58,5,A,Urban,5700,1
72897,0.37,21181,212740,1,0,0,99.18,22,A,Urban,15900,1
114006,0.49,18264,240100,0,0,0,98.86,16,D,Urban,11700,1
30813,0.652,24830,285120,0,0,0,97.8,20,A,Urban,18000,1
71046,0.004,23740,290020,0,0,0,99.69,18,A,Urban,18000,1
98383,0.377,25558,337590,0,0,0,99.22,18,C,Urban,13800,1
78524,0.163,17160,193490,0,0,0,98.78,29,B,Rural,7500,1
13124,0.902,18620,175020,0,0,0,97.2,21,C,Urban,13800,1
413,0.544,18258,199590,2,3,1,98.75,10,C,Urban,9600,1
22488,0.676,12418,270090,2,0,0,99.62,17,B,Rural,20100,0
60184,1,17893,215400,0,0,0,97.09,12,A,Urban,9600,1
88919,0.555,19353,287910,2,1,2,99.06,11,B,Rural,24300,0
90415,0.097,18264,245570,0,0,0,99.31,13,A,Urban,20100,1
95301,0.013,25559,174120,0,0,0,99.89,19,A,Urban,3300,1
65974,0.936,16075,187560,0,0,0,99.54,5,B,Urban,11700,1
43430,0.9,13515,184960,0,0,0,98.75,12,D,Urban,13800,1
113163,0.021,18624,192330,0,0,0,99.47,12,C,Urban,13800,1
39058,0.897,18991,73470,0,0,0,98.09,13,A,Urban,1200,1
74522,0,19355,278280,0,0,0,99.36,10,C,Rural,18000,1
35834,0.878,12424,210090,1,3,0,99.86,4,C,Urban,7500,1
18056,0.025,16432,250070,1,0,0,99.36,12,D,Urban,13800,1
66297,0.981,18992,33210,0,0,0,96.76,8,A,Urban,3300,1
87334,0.417,18624,214750,0,0,0,98.46,12,A,Urban,13800,1
9740,0.022,14240,94960,0,0,0,98.92,5,B,Rural,5700,1
84461,0,20082,124340,0,0,0,,8,A,Urban,5400,1
50930,0.676,20812,400770,2,0,0,99.19,10,A,Urban,22200,1
99434,0.723,19724,379410,0,0,0,99.3,15,D,Urban,15900,1
70824,0.054,17534,241570,0,0,0,99.36,9,A,Rural,11700,1
31477,0.541,18629,604430,0,0,0,99.35,16,D,Rural,47400,1
90157,0.004,13154,125080,0,0,0,98.08,11,B,Rural,9600,1
51244,0.376,21181,331650,0,0,0,98.88,27,A,Rural,9600,1
96529,0.713,18257,50890,0,1,0,98.43,12,A,Rural,5700,1
22272,0.019,13878,69750,0,0,0,,4,A,Rural,1200,1
110020,0.575,28478,92370,0,0,0,99.51,6,A,Urban,7500,1
82889,0.034,27750,125110,0,0,0,99.87,6,B,Rural,3300,1
87709,0.516,21184,260250,0,0,0,99.54,8,A,Rural,24300,1
9584,0.095,16798,201070,0,0,0,99.71,5,A,Rural,9600,1
33717,0.04,25565,39210,1,0,0,99.41,9,A,Urban,3300,1
52867,0.211,26660,108130,0,0,0,99.1,12,B,Urban,3300,1
68931,0.305,28114,136170,0,0,0,98.24,10,A,Urban,18000,1
30023,0.487,25197,202420,0,0,0,99.21,11,D,Urban,9600,1
45564,0.042,18625,159720,0,0,0,99.31,8,A,Rural,3300,1
45308,0.005,28117,150140,1,0,0,98.73,10,B,Rural,7500,1
53412,0.773,15338,304050,1,1,0,99.58,9,C,Urban,13800,1
109600,0.239,21540,553550,1,0,0,99.64,11,A,Urban,47400,1
106004,0.013,14609,249350,0,0,0,99.36,8,D,Urban,18000,1
73345,0.412,16802,412550,1,0,0,99.14,10,A,Urban,20100,1
60089,0.254,18990,675110,1,0,0,99.4,13,B,Urban,32700,1
112584,0.221,19360,137540,3,2,0,99.33,16,A,Urban,9600,0
34832,0.128,23740,170070,0,0,0,99.17,16,A,Rural,9600,1
44329,0.053,19350,229020,0,0,0,99.36,7,D,Urban,15900,1
41398,0.037,26651,248310,0,0,0,99.75,12,B,Urban,20100,1
112010,0.003,16798,180150,0,0,0,98.89,20,B,Urban,18000,1
14412,0.501,13876,218760,0,0,0,99.13,6,A,Urban,3300,1
83170,0.043,22637,129970,0,0,0,99.07,11,B,Urban,13800,1
31749,0.031,19356,195850,0,0,0,99.29,15,D,Urban,22200,1
47619,0.797,12784,93050,2,1,1,99.89,10,D,Urban,5400,1
83698,0.056,14242,250060,0,0,0,99.69,6,C,Rural,3300,1
25388,0.032,12060,179330,0,0,0,99.06,18,A,Rural,9600,1
6957,0.037,10964,48070,0,0,0,99.88,4,A,Urban,5400,1
22179,0.057,23006,210050,0,0,0,99.35,10,A,Urban,11700,1
96617,0.026,28842,189630,0,0,0,99.89,5,A,Rural,20100,1
101851,0.1,22644,123490,0,0,0,99.76,6,A,Urban,7500,1
1603,0.047,15344,926040,0,0,0,99.35,16,A,Rural,43200,1
81679,0.023,18987,387610,0,0,0,99.34,14,A,Urban,22200,1
15037,0.026,24465,222050,0,0,0,99.85,9,A,Rural,24300,1
52373,0.603,17161,162520,2,0,0,99.01,12,B,Urban,11700,1
87825,0.027,23000,236380,0,0,0,99.71,8,A,Rural,11700,1
81741,0.01,24466,195100,0,0,0,92.7,19,B,Urban,1200,1
59620,1,11685,42060,1,0,0,99.22,3,A,Urban,5700,1
104937,0.017,26651,75100,0,0,0,99.88,7,A,Rural,5700,1
14745,0.029,21550,80730,0,0,0,99.2,10,A,Urban,5400,1
74286,0.038,25196,227070,0,0,0,99.33,22,B,Rural,11700,1
33878,0.786,11328,60060,0,0,0,99.62,4,C,Rural,7500,1
69376,0.093,25191,297340,0,0,0,98.41,13,A,Urban,18000,1
87018,0,19718,430120,0,0,0,99.49,9,D,Rural,3300,1
93781,0.934,20086,564200,0,0,0,99.18,10,B,Urban,15900,1
21879,0.2,9139,105100,0,0,0,99.73,7,A,Urban,5400,1
74264,0.084,21176,727600,0,0,0,99.1,12,B,Urban,36900,1
27307,0.027,14974,137640,0,0,0,98.32,10,A,Rural,1200,1
20351,0.252,17899,960030,1,0,0,96.07,14,E,Urban,5400,1
113863,0.499,24099,80790,2,1,1,97.66,15,C,Rural,7500,1
107977,0.665,24101,60120,0,0,1,99.64,4,A,Rural,5400,1
47428,0.753,15710,258860,4,2,0,98.74,18,A,Urban,20100,0
22663,0.387,10234,120090,0,0,0,99.61,8,B,Urban,9600,1
6923,0.697,15705,30070,0,0,0,97.75,10,B,Rural,3300,1
11801,1,11690,234040,0,0,0,,2,A,Urban,22200,1
77659,0.509,22270,339040,0,0,0,98.92,13,A,Rural,13800,1
110428,0.298,31401,90070,0,0,0,99.51,11,A,Rural,9600,1
19186,0.018,18995,156140,0,0,0,99.25,16,C,Rural,9600,1
69367,0.642,25190,45080,0,0,0,98.54,9,A,Urban,1200,1
73359,0.308,19359,310940,0,0,0,97.88,10,A,Rural,13800,1
105931,0.029,31769,2910090,0,0,0,99.86,7,A,Rural,60000,1
87915,0.275,21908,180090,0,0,0,99.42,8,A,Urban,9600,1
65361,0.749,14607,133160,2,0,2,99.68,11,B,Rural,5400,1
108508,0.135,18622,390120,0,0,0,99.16,14,D,Rural,26400,1
21037,0,15337,281440,0,0,0,99.19,8,D,Urban,11700,1
82713,0.03,12056,112620,1,0,0,98.72,21,A,Urban,3300,1
47274,0.108,26655,134570,2,0,0,98.48,19,A,Urban,13800,1
80467,0.508,12419,36080,2,0,0,97.08,6,A,Urban,5700,1
86925,0.892,15707,73320,0,7,0,94.63,12,C,Urban,7500,1
56106,0.401,17525,175060,2,0,0,98.68,14,D,Urban,9600,1
107424,0.111,18995,625040,0,0,0,98.99,24,A,Urban,26400,1
63219,0.654,14249,150080,0,0,0,98.28,7,C,Rural,3300,1
5456,0.115,24103,328940,0,0,0,99.48,6,A,Urban,22200,1
26981,0.03,22275,76540,0,0,0,99.87,7,A,Urban,7500,1
89039,0.303,23003,474770,0,0,0,99.38,11,A,Urban,41100,1
52866,0.113,23371,25100,0,0,0,99.48,6,A,Urban,1200,1
24504,0.367,25921,102040,0,0,0,98.48,13,B,Urban,3300,1
3485,0.022,24098,315090,0,0,0,99.89,12,A,Urban,13800,1
48640,0.024,32862,195090,0,0,0,,4,A,Urban,11700,1
24117,0.123,17897,250100,1,0,1,99.55,12,A,Urban,15900,1
103062,0.118,24826,426310,0,0,0,99.03,9,A,Urban,22200,1
94346,0.128,23370,211400,0,0,0,99.48,10,A,Urban,13800,1
92188,0,15345,374810,0,0,0,99.33,13,D,Urban,26400,1
